sku,name,description,materials,image1,image2,image3,image4,color,brand,size,qty,price,category,Season,size_system,ean,Gender,Manufacturer,ID
10913-XS,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in fuchsia, is made of polyamide and features reflective Coperni logo at front.","80% Polyamide - 20% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236480,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236480,Pink,Coperni,XS,0,150.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688851,Women,Coperni,42365056286932
10913-S,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in fuchsia, is made of polyamide and features reflective Coperni logo at front.","80% Polyamide - 20% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236480,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236480,Pink,Coperni,S,0,150.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688868,Women,Coperni,42365056319700
10913-M,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in fuchsia, is made of polyamide and features reflective Coperni logo at front.","80% Polyamide - 20% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236480,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345884,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10913_high_neck_fitted_top_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236480,Pink,Coperni,M,0,105.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688875,Women,Coperni,42365056352468
10917,"Logo Clasps","These hair clips are from Coperni new collection. The two hair clips, here in green and blue, feature Coperni logo at front.","100% Polyester",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10917_hair_clip_vrients_vrnts_coperni_online_ss22_2.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10917_hair_clip_vrients_vrnts_coperni_online_ss22_3.jpg?v=1645236483,"","",Blue,Coperni,"Default Title",2,84.00,Clasps,S/S2022,"",5057890686581,Women,Coperni,42365107339476
11134-30,"Twill pants","These trousers from Courrèges new collection come in a regular fit. The five pockets pants, here in white, are made of polyester and acetate and feature a zip and button closure.","83% Polyester - 17% Acetate",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_3.jpg?v=1652346937,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_4.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_1.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_5.jpg?v=1645607234,White,Courrèges,30,1,234.00,Pants,S/S2022,gid://shopify/OnlineStorePage/94661312724,3662895649343,Men,Courrèges,42384645390548
11134-32,"Twill pants","These trousers from Courrèges new collection come in a regular fit. The five pockets pants, here in white, are made of polyester and acetate and feature a zip and button closure.","83% Polyester - 17% Acetate",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_3.jpg?v=1652346937,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_4.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_1.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_5.jpg?v=1645607234,White,Courrèges,32,0,234.00,Pants,S/S2022,gid://shopify/OnlineStorePage/94661312724,3662895649367,Men,Courrèges,42384645423316
11134-34,"Twill pants","These trousers from Courrèges new collection come in a regular fit. The five pockets pants, here in white, are made of polyester and acetate and feature a zip and button closure.","83% Polyester - 17% Acetate",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_3.jpg?v=1652346937,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_4.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_1.jpg?v=1652346939,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11134_5_poches_twill_workwear_vrients_vrnts_courreges_shop_online_ss22_5.jpg?v=1645607234,White,Courrèges,34,1,234.00,Pants,S/S2022,gid://shopify/OnlineStorePage/94661312724,3662895649381,Men,Courrèges,42384645456084
11276-S,"Cosmic patchwork crop top","This tank top from Vitelli new collection comes in a slim fit. The cropped top, here in multicolor, is made of regenerated yarns as mohair, cotton, nylon and wool and features the asymmetric hem and Vitelli logo patch at front.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236483,Multicolor,Vitelli,S,1,198.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Women,Vitelli,42431231951060
11276-M,"Cosmic patchwork crop top","This tank top from Vitelli new collection comes in a slim fit. The cropped top, here in multicolor, is made of regenerated yarns as mohair, cotton, nylon and wool and features the asymmetric hem and Vitelli logo patch at front.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1645236483,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11276_cosmic_patchwork_crop_top_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236483,Multicolor,Vitelli,M,1,198.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Women,Vitelli,42431231983828
11277-S,"Reverse logo sweater","This sweater from Vitelli new collection comes in a regular fit. The crew neck sweater, here in multicolor, is made of regenerated yarns as mohair, cotton, nylon and wool and features perforated details and Vitelli reverse logo at front.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_6.jpg?v=1652346588,White,Vitelli,S,1,300.00,Knitwear,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42431258689748
11277-M,"Reverse logo sweater","This sweater from Vitelli new collection comes in a regular fit. The crew neck sweater, here in multicolor, is made of regenerated yarns as mohair, cotton, nylon and wool and features perforated details and Vitelli reverse logo at front.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_6.jpg?v=1652346588,White,Vitelli,M,1,300.00,Knitwear,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42431258722516
11277-L,"Reverse logo sweater","This sweater from Vitelli new collection comes in a regular fit. The crew neck sweater, here in multicolor, is made of regenerated yarns as mohair, cotton, nylon and wool and features perforated details and Vitelli reverse logo at front.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1652346588,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11277_chaga_reverse_logo_stitch_sweater_vrients_vrnts_vitelli_shop_online_ss22_6.jpg?v=1652346588,White,Vitelli,L,1,300.00,Knitwear,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42431258755284
11278-S,"Open back sweater","This sweater from Vitelli new collection comes in a comfortable fit. The crew neck sweater, here in multicolour, is made of regenerated yarns as mohair, cotton, nylon and wool, features a wide open at back and can be worn as a dress too.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_6.jpg?v=1652346487,White,Vitelli,S,1,315.00,Knitwear,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42431297716436
11278-M,"Open back sweater","This sweater from Vitelli new collection comes in a comfortable fit. The crew neck sweater, here in multicolour, is made of regenerated yarns as mohair, cotton, nylon and wool, features a wide open at back and can be worn as a dress too.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1652346487,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11278_open_back_sweater_vrients_vrnts_vitelli_shop_online_ss22_6.jpg?v=1652346487,White,Vitelli,M,1,315.00,Knitwear,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42431297749204
11279,"Coastline Cap","This beanie from Vitelli new collection comes in one size, it is made of regenerated yarns as wool, nylon, cotton twine, hemp twine, jute twine; the fit is slim.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11279_coastline_beanie_vrients_vrnts_vitelli_shop_online_ss22_2.jpg?v=1645236486,"","","",Blue,Vitelli,"One Size",2,66.00,Caps,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Genderless,Vitelli,42469571395796
11281-S,"Clessidra halterneck dress","This dress from Vitelli new collection comes in a slim fit. The halterneck dress, here in cream, is made of regenerated yarns as mohair, cotton, nylon and wool.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236487,White,Vitelli,S,1,204.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Women,Vitelli,42431373476052
11281-M,"Clessidra halterneck dress","This dress from Vitelli new collection comes in a slim fit. The halterneck dress, here in cream, is made of regenerated yarns as mohair, cotton, nylon and wool.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1652344599,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11281_clessidra_halterneck_dress_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236487,White,Vitelli,M,1,204.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Women,Vitelli,42431373508820
11282-S,"Expandable tank top dress","This tank top from Vitelli new collection comes in a slim fit. The expandable tank top dress, here in black, is made of regenerated yarns as viscose, linen, cotton and polyester.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236487,Black,Vitelli,S,1,240.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Men,Vitelli,42431385141460
11282-M,"Expandable tank top dress","This tank top from Vitelli new collection comes in a slim fit. The expandable tank top dress, here in black, is made of regenerated yarns as viscose, linen, cotton and polyester.","100% Regenerated yarns (mohair, cotton, nylon and wool)",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_3.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_4.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_1.jpg?v=1652345291,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/11282_expandable_tank_top_dress_vrients_vrnts_vitelli_shop_online_ss22_5.jpg?v=1645236487,Black,Vitelli,M,1,240.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,"",Men,Vitelli,42431385174228
